Primary_Key,Rang,Nom,Club,Poste,Selection,Points,pourcentage_vote,year
1,1,Cristiano Ronaldo,Real Madrid,Attaquant,Portugal,745,"47,85 ",2016
2,2,Lionel Messi,FC Barcelone,Attaquant,Argentine,316,"20,30 ",2016
3,3,Antoine Griezmann,Atletico Madrid,Attaquant,France,198,"12,72 ",2016
4,4,Luis Suarez,FC Barcelone,Attaquant,Uruguay,91,"5,84 ",2016
5,5,Neymar,FC Barcelone,Attaquant,Bresil,68,"4,37 ",2016
6,6,Gareth Bale,Real Madrid,Attaquant,Pays de Galles,60,"3,85 ",2016
7,7,Riyad Mahrez,Leicester City,Attaquant,Algerie,20,"1,28 ",2016
8,8,Jamie Vardy,Leicester City,Attaquant,Angleterre,11,"0,71 ",2016
9,9,Gianluigi Buffon,Juventus FC,Attaquant,Italie,8,"0,51 ",2016
10,9,Pepe,Real Madrid,Attaquant,Portugal,8,"0,51 ",2016
11,11,Pierre-Emerick Aubameyang,Borussia Dortmund,Attaquant,Gabon,7,"0,45 ",2016
12,12,Rui Patricio,Sporting CP,Attaquant,Portugal,6,"0,39 ",2016
13,13,Zlatan Ibrahimovic,Paris Saint-Germain,Attaquant,Suede,5,"0,32 ",2016
14,14,Paul Pogba,Juventus FC,Attaquant,France,4,"0,26 ",2016
15,14,Arturo Vidal,Bayern Munich,Attaquant,Chili,4,"0,26 ",2016
16,16,Robert Lewandowski,Bayern Munich,Attaquant,Pologne,3,"0,19 ",2016
17,17,Toni Kroos,Real Madrid,Attaquant,Allemagne,1,"0,06 ",2016
18,17,Luka Modric,Real Madrid,Attaquant,Croatie,1,"0,06 ",2016
19,17,Dimitri Payet,West Ham United,Attaquant,France,1,"0,06 ",2016
20,20,Sergio Aguero,Manchester City,Attaquant,Argentine,0,0 ,2016
21,20,Kevin De Bruyne,Manchester City,Attaquant,Belgique,0,0 ,2016
22,20,Paulo Dybala,Juventus FC,Attaquant,Argentine,0,0 ,2016
23,20,Diego Godin,Atletico Madrid,Attaquant,Uruguay,0,0 ,2016
24,20,Gonzalo Higuain,SSC Naples,Attaquant,Argentine,0,0 ,2016
25,20,Andres Iniesta,FC Barcelone,Attaquant,Espagne,0,0 ,2016
26,20,Koke,Atletico Madrid,Attaquant,Espagne,0,0 ,2016
27,20,Hugo Lloris,Tottenham Hotspur,Attaquant,France,0,0 ,2016
28,20,Thomas Muller,Bayern Munich,Attaquant,Allemagne,0,0 ,2016
29,20,Manuel Neuer,Bayern Munich,Attaquant,Allemagne,0,0 ,2016
30,20,Sergio Ramos,Real Madrid,Attaquant,Espagne,0,0 ,2016
