Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Year,Confederation,Type
318,22,Pavel Nedved,Lazio,Czech Republic,Attaquant,4,2000,UEFA,1
319,22,David Trezeguet,Juventus FC,France,Attaquant,4,2000,UEFA,1
320,24,Marcel Desailly,Chelsea,France,Attaquant,2,2000,UEFA,1
321,24,Oliver Kahn,Bayern Munich,Allemagne,Attaquant,2,2000,UEFA,1
322,24,Rui Costa,Fiorentina,Portugal,Attaquant,2,2000,UEFA,1
323,27,Laurent Blanc,Inter Milan,France,Attaquant,1,2000,UEFA,1
324,27,Claudio Lopez,Valencia  Lazio,Argentine,Attaquant,1,2000,UEFA,1
325,27,Roy Keane,Manchester United,Irelande,Attaquant,1,2000,UEFA,1
326,27,Juan Sebastian Veron,Lazio,Argentine,Attaquant,1,2000,UEFA,1
327,1,Michael Owen,Liverpool,Anglettere,Attaquant,176,2001,UEFA,1
328,2,Raul,Real Madrid,Espagne,Attaquant,140,2001,UEFA,1
329,3,Oliver Kahn,Bayern Munich,Allemagne,Attaquant,114,2001,UEFA,1
330,4,David Beckham,Manchester United,Anglettere,Attaquant,102,2001,UEFA,1
331,5,Francesco Totti,A.S. Roma,Italie,Attaquant,57,2001,UEFA,1
332,6,Luis Figo,Real Madrid,Portugal,Attaquant,56,2001,UEFA,1
333,7,Rivaldo,FC Barcelone,Bresil,Attaquant,20,2001,UEFA,1
334,8,Andriy Shevchenko,Milan AC,Ukraine,Attaquant,18,2001,UEFA,1
335,9,Thierry Henry,Arsenal,France,Attaquant,14,2001,UEFA,1
336,9,Zinedine Zidane,Real Madrid,France,Attaquant,14,2001,UEFA,1
337,11,Bixente Lizarazu,Bayern Munich,France,Attaquant,10,2001,UEFA,1
338,12,David Trezeguet,Juventus FC,France,Attaquant,7,2001,UEFA,1
339,13,Stefan Effenberg,Bayern Munich,Allemagne,Attaquant,6,2001,UEFA,1
340,14,Henrik Larsson,Celtic,Suede,Attaquant,4,2001,UEFA,1
341,14,Alessandro Nesta,Lazio,Italie,Attaquant,4,2001,UEFA,1
342,16,Juan Sebastian Veron,Lazio  Manchester United,Argentine,Attaquant,3,2001,UEFA,1
343,16,Hernan Crespo,Lazio,Argentine,Attaquant,3,2001,UEFA,1
344,18,Giovane Elber,Bayern Munich,Bresil,Attaquant,2,2001,UEFA,1
345,18,Gaizka Mendieta,Valencia  Lazio,Espagne,Attaquant,2,2001,UEFA,1
346,18,Roberto Carlos,Real Madrid,Bresil,Attaquant,2,2001,UEFA,1
347,18,Damiano Tommasi,Roma,Italie,Attaquant,2,2001,UEFA,1
348,18,Sami Hyypiä,Liverpool,Finland,Attaquant,2,2001,UEFA,1
349,18,Emmanuel Olisadebe,Panathinaikos,Poland,Attaquant,2,2001,UEFA,1
350,18,Ebbe Sand,Schalke 04,Danemark,Attaquant,2,2001,UEFA,1
351,25,Roberto Baggio,Brescia,Italie,Attaquant,1,2001,UEFA,1
352,25,Steven Gerrard,Liverpool,Anglettere,Attaquant,1,2001,UEFA,1
353,25,Rui Costa,Milan AC,Portugal,Attaquant,1,2001,UEFA,1
354,28,Sonny Anderson,Lyon,Bresil,Attaquant,0,2001,UEFA,1
355,28,Fabien Barthez,Manchester United,France,Attaquant,0,2001,UEFA,1
356,28,Gabriel Batistuta,Roma,Argentine,Attaquant,0,2001,UEFA,1
357,28,Gianluigi Buffon,Parma  Juventus FC,Italie,Attaquant,0,2001,UEFA,1
358,28,Cafu,Roma,Bresil,Attaquant,0,2001,UEFA,1
359,28,Vincent Candela,Roma,France,Attaquant,0,2001,UEFA,1
360,28,Alessandro Del Piero,Juventus FC,Italie,Attaquant,0,2001,UEFA,1
361,28,Marcel Desailly,Chelsea,France,Attaquant,0,2001,UEFA,1
362,28,Rio Ferdinand,Leeds United,Anglettere,Attaquant,0,2001,UEFA,1
363,28,Ryan Giggs,Manchester United,Pays de Galles,Attaquant,0,2001,UEFA,1
364,28,Jimmy Floyd Hasselbaink,Chelsea,Pays-Bas,Attaquant,0,2001,UEFA,1
365,28,Iván Helguera,Real Madrid,Espagne,Attaquant,0,2001,UEFA,1
366,28,Harry Kewell,Leeds United,Australia,Attaquant,0,2001,UEFA,1
367,28,Patrick Kluivert,FC Barcelone,Pays-Bas,Attaquant,0,2001,UEFA,1
368,28,Samuel Kuffour,Bayern Munich,Ghana,Attaquant,0,2001,UEFA,1
369,28,Hidetoshi Nakata,Roma  Parma,Japan,Attaquant,0,2001,UEFA,1
370,28,Pavel Nedved,Lazio  Juventus FC,Czech Republic,Attaquant,0,2001,UEFA,1
371,28,Pauleta,Bordeaux,Portugal,Attaquant,0,2001,UEFA,1
372,28,Robert Pires,Arsenal,France,Attaquant,0,2001,UEFA,1
373,28,Paul Scholes,Manchester United,Anglettere,Attaquant,0,2001,UEFA,1
374,28,Lilian Thuram,Parma  Juventus FC,France,Attaquant,0,2001,UEFA,1
375,28,Patrick Vieira,Arsenal,France,Attaquant,0,2001,UEFA,1
376,28,Eric Carrière,Nantes,France,Attaquant,0,2001,UEFA,1
377,1,Ronaldo,Inter Milan  Real Madrid,Bresil,Attaquant,169,2002,UEFA,1
378,2,Roberto Carlos,Real Madrid,Bresil,Attaquant,145,2002,UEFA,1
379,3,Oliver Kahn,Bayern Munich,Allemagne,Attaquant,110,2002,UEFA,1
380,4,Zinedine Zidane,Real Madrid,France,Attaquant,78,2002,UEFA,1
381,5,Michael Ballack,Bayer Leverkusen  Bayern Munich,Allemagne,Attaquant,71,2002,UEFA,1
382,6,Thierry Henry,Arsenal,France,Attaquant,54,2002,UEFA,1
383,7,Raul,Real Madrid,Espagne,Attaquant,38,2002,UEFA,1
384,8,Rivaldo,FC Barcelone  Milan AC,Bresil,Attaquant,31,2002,UEFA,1
385,9,Yıldıray Basturk,Bayer Leverkusen,Turkey,Attaquant,13,2002,UEFA,1
386,10,Alessandro Del Piero,Juventus FC,Italie,Attaquant,12,2002,UEFA,1
387,11,Hasan Sas,Galatasaray,Turkey,Attaquant,10,2002,UEFA,1
388,12,Ronaldinho,Paris Saint-Germain,Bresil,Attaquant,8,2002,UEFA,1
389,13,Michael Owen,Liverpool,Anglettere,Attaquant,5,2002,UEFA,1
390,13,Ruud van Nistelrooy,Manchester United,Pays-Bas,Attaquant,5,2002,UEFA,1
391,15,Bernd Schneider,Bayer Leverkusen,Allemagne,Attaquant,4,2002,UEFA,1
392,15,Juan Carlos Valerón,Deportivo La Corogne,Espagne,Attaquant,4,2002,UEFA,1
393,15,Cafu,Roma,Bresil,Attaquant,4,2002,UEFA,1
394,15,Patrick Vieira,Arsenal,France,Attaquant,4,2002,UEFA,1
395,19,Lucio,Bayer Leverkusen,Bresil,Attaquant,3,2002,UEFA,1
396,19,Luis Figo,Real Madrid,Portugal,Attaquant,3,2002,UEFA,1
397,21,Papa Bouba Diop,Lens,Senegal,Attaquant,2,2002,UEFA,1
398,21,El Hadji Diouf,Lens  Liverpool,Senegal,Attaquant,2,2002,UEFA,1
399,21,Rio Ferdinand,Leeds United  Manchester United,Anglettere,Attaquant,2,2002,UEFA,1
400,24,Rubén Baraja,Valencia,Espagne,Attaquant,1,2002,UEFA,1
401,24,Filippo Inzaghi,Milan AC,Italie,Attaquant,1,2002,UEFA,1
402,24,Roy Makaay,Deportivo La Corogne,Pays-Bas,Attaquant,1,2002,UEFA,1
