Primary_Key,Rank,Nom,Club,Selection,Poste,Points,year
1,1,Lothar Matthaus,Inter Milan,Germany,Attaquant,137,1990
2,2,Salvatore Schillaci,Juventus FC,Italy,Attaquant,84,1990
3,3,Andreas Brehme,Inter Milan,Germany,Attaquant,68,1990
4,4,Paul Gascoigne,Tottenham Hotspur,England,Attaquant,43,1990
5,5,Franco Baresi,Milan AC,Italy,Attaquant,37,1990
6,6,Enzo Scifo,Auxerre,Belgium,Attaquant,12,1990
7,6,Jurgen Klinsmann,Inter Milan,Germany,Attaquant,12,1990
8,8,Roberto Baggio,Fiorentina  Juventus FC,Italy,Attaquant,8,1990
9,9,Frank Rijkaard,Milan AC,Netherlands,Attaquant,7,1990
10,10,Guido Buchwald,VfB Stuttgart,Germany,Attaquant,6,1990
11,11,Jean-Pierre Papin,Marseille,France,Attaquant,3,1990
12,12,Rafael Martin Vazquez,Real Madrid  Torino,Spain,Attaquant,2,1990
13,12,Paul McGrath,Aston Villa,Republic of Ireland,Attaquant,2,1990
14,12,Robert Prosinecki,Red Star Belgrade,Yugoslavia,Attaquant,2,1990
15,12,Des Walker,Nottingham Forest,England,Attaquant,2,1990
16,12,Walter Zenga,Inter Milan,Italy,Attaquant,2,1990
17,12,Dragan Stojkovic,Red Star Belgrade  Marseille,Yugoslavia,Attaquant,2,1990
18,18,John Barnes,Liverpool,England,Attaquant,1,1990
19,18,Michael Laudrup,Barcelona,Denmark,Attaquant,1,1990
20,18,Gary Lineker,Tottenham Hotspur,England,Attaquant,1,1990
21,18,David Platt,Aston Villa,England,Attaquant,1,1990
22,18,Rudi Voller,Roma,Germany,Attaquant,1,1990
23,18,Chris Waddle,Marseille,England,Attaquant,1,1990
