Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Confederation,Type,Year
297,1,Luis Figo,FC Barcelone,Portugal,Attaquant,197,UEFA,1,2000
298,2,Zinedine Zidane,Juventus FC,France,Attaquant,181,UEFA,1,2000
299,3,Andriy Shevchenko,Milan AC,Ukraine,Attaquant,85,UEFA,1,2000
300,4,Thierry Henry,Arsenal,France,Attaquant,57,UEFA,1,2000
301,5,Alessandro Nesta,Lazio,Italie,Attaquant,39,UEFA,1,2000
302,6,Rivaldo,FC Barcelone,Bresil,Attaquant,39,UEFA,3,2000
303,7,Gabriel Batistuta,Roma,Argentine,Attaquant,26,UEFA,3,2000
304,8,Gaizka Mendieta,Valencia,Espagne,Attaquant,22,UEFA,1,2000
305,9,Raul,Real Madrid,Espagne,Attaquant,18,UEFA,1,2000
306,10,Paolo Maldini,Milan AC,Italie,Attaquant,10,UEFA,1,2000
307,10,David Beckham,Manchester United,Angleterre,Attaquant,10,UEFA,1,2000
308,12,Zlatko Zahovic,Olympiacos,Slovenie,Attaquant,8,UEFA,1,2000
309,12,Fabien Barthez,Manchester United,France,Attaquant,8,UEFA,1,2000
310,14,Francesco Toldo,Fiorentina,Italie,Attaquant,7,UEFA,1,2000
311,14,Francesco Totti,Roma,Italie,Attaquant,7,UEFA,1,2000
312,14,Roberto Carlos,Real Madrid,Bresil,Attaquant,7,UEFA,3,2000
313,17,Patrick Kluivert,FC Barcelone,Pays-Bas,Attaquant,6,UEFA,1,2000
314,18,Edgar Davids,Juventus FC,Pays-Bas,Attaquant,5,UEFA,1,2000
315,18,Hakan Sukur,Inter Milan,Turkey,Attaquant,5,UEFA,1,2000
316,18,Mario Jardel,Galatasaray,Bresil,Attaquant,5,UEFA,3,2000
317,18,Fernando Redondo,Real Madrid,Argentine,Attaquant,5,UEFA,3,2000
318,22,Pavel Nedved,Lazio,Republique-Tcheque,Attaquant,4,UEFA,1,2000
319,22,David Trezeguet,Juventus FC,France,Attaquant,4,UEFA,1,2000
320,24,Marcel Desailly,Chelsea,France,Attaquant,2,UEFA,1,2000
321,24,Oliver Kahn,Bayern Munich,Allemagne,Attaquant,2,UEFA,1,2000
322,24,Rui Costa,Fiorentina,Portugal,Attaquant,2,UEFA,1,2000
323,27,Laurent Blanc,Inter Milan,France,Attaquant,1,UEFA,1,2000
324,27,Claudio Lopez,Valencia  Lazio,Argentine,Attaquant,1,UEFA,3,2000
325,27,Roy Keane,Manchester United,Irelande,Attaquant,1,UEFA,1,2000
326,27,Juan Sebastian Veron,Lazio,Argentine,Attaquant,1,UEFA,3,2000
