Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Confederation,Type,Year
133,1,George Weah,Paris Saint-Germain  Milan AC,Liberia,Attaquant,144,UEFA,1,1995
134,2,Jurgen Klinsmann,Tottenham Hotspur F.C.  Bayern Munich,Allemagne,Attaquant,108,UEFA,1,1995
135,3,Jari Litmanen,Ajax,Finland,Attaquant,67,UEFA,1,1995
136,4,Alessandro Del Piero,Juventus FC,Italie,Attaquant,57,UEFA,1,1995
137,5,Patrick Kluivert,Ajax,Pays-Bas,Attaquant,47,UEFA,1,1995
138,6,Gianfranco Zola,Parma,Italie,Attaquant,41,UEFA,1,1995
139,7,Paolo Maldini,Milan AC,Italie,Attaquant,36,UEFA,1,1995
140,8,Marc Overmars,Ajax,Pays-Bas,Attaquant,33,UEFA,1,1995
141,9,Matthias Sammer,Borussia Dortmund,Allemagne,Attaquant,18,UEFA,1,1995
142,10,Michael Laudrup,Real Madrid,Danemark,Attaquant,17,UEFA,1,1995
143,11,Marcel Desailly,Milan AC,France,Attaquant,16,UEFA,1,1995
144,12,Frank Rijkaard,Ajax,Pays-Bas,Attaquant,15,UEFA,1,1995
145,12,Fabrizio Ravanelli,Juventus FC,Italie,Attaquant,15,UEFA,1,1995
146,14,Paulo Sousa,Juventus FC,Portugal,Attaquant,14,UEFA,1,1995
147,14,Hristo Stoichkov,Parma,Bulgarie,Attaquant,14,UEFA,1,1995
148,16,Dejan Savicevic,Milan AC,Yougoslavie,Attaquant,12,UEFA,1,1995
149,17,Davor Suker,Sevilla,Croatie,Attaquant,10,UEFA,1,1995
150,18,Fernando Hierro,Real Madrid,Espagne,Attaquant,9,UEFA,1,1995
151,19,Gianluca Vialli,Juventus FC,Italie,Attaquant,8,UEFA,1,1995
152,20,Gabriel Batistuta,Fiorentina,Argentine,Attaquant,7,UEFA,3,1995
153,21,Franco Baresi,Milan AC,Italie,Attaquant,6,UEFA,1,1995
154,21,Finidi George,Ajax,Nigeria,Attaquant,6,UEFA,2,1995
155,23,Roberto Baggio,Juventus FC,Italie,Attaquant,5,UEFA,1,1995
156,23,Anthony Yeboah,Leeds United,Ghana,Attaquant,5,UEFA,1,1995
157,23,Zvonimir Boban,Milan AC,Croatie,Attaquant,5,UEFA,1,1995
158,26,Ronaldo,PSV Eindhoven,Brazil,Attaquant,4,UEFA,1,1995
159,27,Juan Esnaider,Real Zaragoza  Real Madrid,Argentine,Attaquant,3,UEFA,3,1995
160,27,Ivan Zamorano,Real Madrid,Chile,Attaquant,3,UEFA,1,1995
161,27,Andreas Moller,Borussia Dortmund,Allemagne,Attaquant,3,UEFA,1,1995
162,30,Vitor Baia,Porto,Portugal,Attaquant,2,UEFA,1,1995
163,30,Bebeto,Deportivo La Corogne,Brazil,Attaquant,2,UEFA,1,1995
164,32,Alan Shearer,Blackburn Rovers,Angleterre,Attaquant,1,UEFA,1,1995
165,32,Luis Figo,FC Barcelone,Portugal,Attaquant,1,UEFA,1,1995
166,32,Ian Wright,Arsenal,Angleterre,Attaquant,1,UEFA,1,1995
