Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Confederation,Type,Year
327,1,Michael Owen,Liverpool,Angleterre,Attaquant,176,UEFA,1,2001
328,2,Raul,Real Madrid,Espagne,Attaquant,140,UEFA,1,2001
329,3,Oliver Kahn,Bayern Munich,Allemagne,Attaquant,114,UEFA,1,2001
330,4,David Beckham,Manchester United,Angleterre,Attaquant,102,UEFA,1,2001
331,5,Francesco Totti,A.S. Roma,Italie,Attaquant,57,UEFA,1,2001
332,6,Luis Figo,Real Madrid,Portugal,Attaquant,56,UEFA,1,2001
333,7,Rivaldo,FC Barcelone,Bresil,Attaquant,20,UEFA,3,2001
334,8,Andriy Shevchenko,Milan AC,Ukraine,Attaquant,18,UEFA,1,2001
335,9,Thierry Henry,Arsenal,France,Attaquant,14,UEFA,1,2001
336,9,Zinedine Zidane,Real Madrid,France,Attaquant,14,UEFA,1,2001
337,11,Bixente Lizarazu,Bayern Munich,France,Attaquant,10,UEFA,1,2001
338,12,David Trezeguet,Juventus FC,France,Attaquant,7,UEFA,1,2001
339,13,Stefan Effenberg,Bayern Munich,Allemagne,Attaquant,6,UEFA,1,2001
340,14,Henrik Larsson,Celtic,Suede,Attaquant,4,UEFA,1,2001
341,14,Alessandro Nesta,Lazio,Italie,Attaquant,4,UEFA,1,2001
342,16,Juan Sebastian Veron,Lazio  Manchester United,Argentine,Attaquant,3,UEFA,3,2001
343,16,Hernan Crespo,Lazio,Argentine,Attaquant,3,UEFA,3,2001
344,18,Giovane Elber,Bayern Munich,Bresil,Attaquant,2,UEFA,3,2001
345,18,Gaizka Mendieta,Valencia  Lazio,Espagne,Attaquant,2,UEFA,1,2001
346,18,Roberto Carlos,Real Madrid,Bresil,Attaquant,2,UEFA,3,2001
347,18,Damiano Tommasi,Roma,Italie,Attaquant,2,UEFA,1,2001
348,18,Sami Hyypiä,Liverpool,Finland,Attaquant,2,UEFA,1,2001
349,18,Emmanuel Olisadebe,Panathinaikos,Poland,Attaquant,2,UEFA,1,2001
350,18,Ebbe Sand,Schalke 04,Danemark,Attaquant,2,UEFA,1,2001
351,25,Roberto Baggio,Brescia,Italie,Attaquant,1,UEFA,1,2001
352,25,Steven Gerrard,Liverpool,Angleterre,Attaquant,1,UEFA,1,2001
353,25,Rui Costa,Milan AC,Portugal,Attaquant,1,UEFA,1,2001
354,28,Sonny Anderson,Lyon,Bresil,Attaquant,0,UEFA,3,2001
355,28,Fabien Barthez,Manchester United,France,Attaquant,0,UEFA,1,2001
356,28,Gabriel Batistuta,Roma,Argentine,Attaquant,0,UEFA,3,2001
357,28,Gianluigi Buffon,Parma  Juventus FC,Italie,Attaquant,0,UEFA,1,2001
358,28,Cafu,Roma,Bresil,Attaquant,0,UEFA,3,2001
359,28,Vincent Candela,Roma,France,Attaquant,0,UEFA,1,2001
360,28,Alessandro Del Piero,Juventus FC,Italie,Attaquant,0,UEFA,1,2001
361,28,Marcel Desailly,Chelsea,France,Attaquant,0,UEFA,1,2001
362,28,Rio Ferdinand,Leeds United,Angleterre,Attaquant,0,UEFA,1,2001
363,28,Ryan Giggs,Manchester United,Pays de Galles,Attaquant,0,UEFA,1,2001
364,28,Jimmy Floyd Hasselbaink,Chelsea,Pays-Bas,Attaquant,0,UEFA,1,2001
365,28,Iván Helguera,Real Madrid,Espagne,Attaquant,0,UEFA,1,2001
366,28,Harry Kewell,Leeds United,Australia,Attaquant,0,UEFA,1,2001
367,28,Patrick Kluivert,FC Barcelone,Pays-Bas,Attaquant,0,UEFA,1,2001
368,28,Samuel Kuffour,Bayern Munich,Ghana,Attaquant,0,UEFA,1,2001
369,28,Hidetoshi Nakata,Roma  Parma,Japan,Attaquant,0,UEFA,1,2001
370,28,Pavel Nedved,Lazio  Juventus FC,Czech Republic,Attaquant,0,UEFA,1,2001
371,28,Pauleta,Bordeaux,Portugal,Attaquant,0,UEFA,1,2001
372,28,Robert Pires,Arsenal,France,Attaquant,0,UEFA,1,2001
373,28,Paul Scholes,Manchester United,Angleterre,Attaquant,0,UEFA,1,2001
374,28,Lilian Thuram,Parma  Juventus FC,France,Attaquant,0,UEFA,1,2001
375,28,Patrick Vieira,Arsenal,France,Attaquant,0,UEFA,1,2001
376,28,Eric Carrière,Nantes,France,Attaquant,0,UEFA,1,2001
