Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Confederation,Type,Year
235,1,Zinedine Zidane,Juventus FC,France,Attaquant,244,UEFA,1,1998
236,2,Davor Suker,Real Madrid,Croatie,Attaquant,68,UEFA,1,1998
237,3,Ronaldo,Inter Milan,Brazil,Attaquant,66,UEFA,1,1998
238,4,Michael Owen,Liverpool,Angleterre,Attaquant,51,UEFA,1,1998
239,5,Rivaldo,FC Barcelone,Brazil,Attaquant,45,UEFA,1,1998
240,6,Gabriel Batistuta,Fiorentina,Argentine,Attaquant,43,UEFA,3,1998
241,7,Lilian Thuram,Parma,France,Attaquant,36,UEFA,1,1998
242,8,Edgar Davids,Juventus FC,Pays-Bas,Attaquant,28,UEFA,1,1998
243,8,Dennis Bergkamp,Arsenal,Pays-Bas,Attaquant,28,UEFA,1,1998
244,10,Marcel Desailly,Chelsea,France,Attaquant,19,UEFA,1,1998
245,11,Frank de Boer,Ajax,Pays-Bas,Attaquant,17,UEFA,1,1998
246,12,Emmanuel Petit,Arsenal,France,Attaquant,16,UEFA,1,1998
247,13,Roberto Carlos,Real Madrid,Brazil,Attaquant,13,UEFA,1,1998
248,14,Laurent Blanc,Marseille,France,Attaquant,11,UEFA,1,1998
249,14,Fabien Barthez,Monaco,France,Attaquant,11,UEFA,1,1998
250,16,Alessandro Del Piero,Juventus FC,Italie,Attaquant,10,UEFA,1,1998
251,16,Predrag Mijatovic,Real Madrid,Yugoslavia,Attaquant,10,UEFA,1,1998
252,18,Didier Deschamps,Juventus FC,France,Attaquant,9,UEFA,1,1998
253,18,Oliver Bierhoff,Milan AC,Allemagne,Attaquant,9,UEFA,1,1998
254,20,Michael Laudrup,Ajax,Danemark,Attaquant,6,UEFA,1,1998
255,21,Ronald de Boer,Ajax,Pays-Bas,Attaquant,4,UEFA,1,1998
256,21,Raul,Real Madrid,Espagne,Attaquant,4,UEFA,1,1998
257,23,Brian Laudrup,Chelsea,Danemark,Attaquant,3,UEFA,1,1998
258,23,Clarence Seedorf,Real Madrid,Pays-Bas,Attaquant,3,UEFA,1,1998
259,23,Marc Overmars,Arsenal,Pays-Bas,Attaquant,3,UEFA,1,1998
260,26,Christian Vieri,Lazio,Italie,Attaquant,2,UEFA,1,1998
261,26,Fernando Hierro,Real Madrid,Espagne,Attaquant,2,UEFA,1,1998
262,28,David Beckham,Manchester United,Angleterre,Attaquant,1,UEFA,1,1998
263,28,Luis Enrique,FC Barcelone,Espagne,Attaquant,1,UEFA,1,1998
264,28,Bixente Lizarazu,Bayern Munich,France,Attaquant,1,UEFA,1,1998
265,28,Nikos Machlas,Vitesse,Grece,Attaquant,1,UEFA,1,1998
